================================================================================
CloudFormation DeletionPolicy Audit Report
  ❌ DRSRecoverySnapshotsResource             AWS::ApiGateway::Resource                          MISSING
  ❌ EC2Resource                              AWS::ApiGateway::Resource                          MISSING
  ❌ EC2SubnetsResource                       AWS::ApiGateway::Resource                          MISSING
  ❌ EC2SecurityGroupsResource                AWS::ApiGateway::Resource                          MISSING
  ❌ EC2InstanceProfilesResource              AWS::ApiGateway::Resource                          MISSING
  ❌ EC2InstanceTypesResource                 AWS::ApiGateway::Resource                          MISSING
  ❌ ConfigResource                           AWS::ApiGateway::Resource                          MISSING
  ❌ ConfigExportResource                     AWS::ApiGateway::Resource                          MISSING
  ❌ ConfigImportResource                     AWS::ApiGateway::Resource                          MISSING
  ❌ ConfigTagSyncResource                    AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsResource                         AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsCurrentResource                  AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsTargetsResource                  AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsTargetResource                   AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsTargetValidateResource           AWS::ApiGateway::Resource                          MISSING
  ❌ StagingAccountsResource                  AWS::ApiGateway::Resource                          MISSING
  ❌ StagingAccountsValidateResource          AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsTargetStagingAccountsResource    AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsTargetStagingAccountsDiscoverResource AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsTargetStagingAccountsSyncResource AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsTargetStagingAccountResource     AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsTargetCapacityResource           AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsCapacityResource                 AWS::ApiGateway::Resource                          MISSING
  ❌ AccountsCapacityAllResource              AWS::ApiGateway::Resource                          MISSING

cfn/apigateway/auth-stack.yaml
--------------------------------------------------------------------------------
  ❌ ApiAuthorizer                            COGNITO_USER_POOLS                                 MISSING

cfn/apigateway/core-methods-stack.yaml
--------------------------------------------------------------------------------
  ❌ HealthGetMethod                          MOCK                                               MISSING
  ❌ HealthOptionsMethod                      MOCK                                               MISSING
  ❌ UserProfileGetMethod                     AWS_PROXY                                          MISSING
  ❌ UserProfileOptionsMethod                 MOCK                                               MISSING
  ❌ UserRolesGetMethod                       AWS_PROXY                                          MISSING
  ❌ UserRolesOptionsMethod                   MOCK                                               MISSING
  ❌ UserPermissionsGetMethod                 AWS_PROXY                                          MISSING
  ❌ UserPermissionsOptionsMethod             MOCK                                               MISSING
  ❌ ProtectionGroupsGetMethod                AWS_PROXY                                          MISSING
  ❌ ProtectionGroupsPostMethod               AWS_PROXY                                          MISSING
  ❌ ProtectionGroupsOptionsMethod            MOCK                                               MISSING
  ❌ ProtectionGroupResolvePostMethod         AWS_PROXY                                          MISSING
  ❌ ProtectionGroupResolveOptionsMethod      MOCK                                               MISSING
